
,,,,
,,,,,,"SMPR - Secretaria Municipal das Prefeituras Regionais
SMUL - Secretaria Municipal de Urbanismo e Licenciamento
SLE - Sistema de Licenciamento Eletrônico",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Página:1 / 1,,,
,,,,,,,,Relatório de processos aprovados,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,

,,,,Período de consulta: de,,,,,,45292,,até,,,45657,,- Data de emissão:,,,,45673,

Unidade,Administração regional,,Alvará,,,,Processo,,,,,,,Descrição,,,,,Data autuação,,,SQL_Incra,,,,Categoria de uso,Zona de uso atual,,Zona de uso anterior,Bairro,Área da construção (m²),Proprietário,Área do terreno (m²),Endereço,Aprovação,Dirigente técnico,Responsável pela empresa,Autor do projeto,Responsável pela empresa,"(B)locos / 
SMUL/GTEC           ,VILA PRUDENTE                 ,,2024.06.784-00,,,,0000-2018-0.079.317-7,,,,,,,CERTIFICADO DE REGULARIZACAO,,,,,08/08/2018,,,044.076.0023-3,,,,R1,,,Z2.,VILA PRUDENTE,,ANNA ZAMPAH DE NEGREIROS,"147,13",R   JOANOPOLIS 00053 ,11/11/2024,,,,,,,
SMUL/PARHIS         ,CAPELA DO SOCORRO             ,,2024.06.775-00,,,,0000-2019-0.024.159-1,,,,,,,RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA,,,,,05/04/2019,,,178.065.0002-1,,,,EZEIS; NR1; H.M.P; HIS 2; HIS 1, ZEIS-4,,ZONA ESPECIAL DE INTERESSE SOCIAL - 4.,GRAJAU,"14.104,42",GABBAI EMPREENDIMENTOS IMOBILIARIOS LTDA,"5.646,77",AV  SENADOR TEOTONIO VILELA 009670 ,08/11/2024,OTAVIO AUGUSTO LEITE DA ROCHA,,OTAVIO AUGUSTO LEITE DA ROCHA,,B: 2 P: 17 U: 334,,
SMUL/PARHIS         ,IPIRANGA                      ,,2024.06.713-00,,,,6068-2023-0.010.043-0,,,,,,,RECONSIDERACAO DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,19/10/2023,,,302.027.0006-1,,,,HIS 2, ZEM,,ZONA MISTA DE ALTA DENSIDADE - B.,IPIRANGA,"725,76",VILA CARIOCA EMPREENDIMENTO IMOBILIARIO SPE LTDA,"291,60",R   FLORIANO DE SA 00072 ,05/11/2024,JEREMIAS DE FREITAS DAMACENO,,ALVARO DE MATOS TAVARES,,B: 1 P: 3 U: 20,,
SMUL/PARHIS         ,MOOCA                         ,,2024.07.056-00,,,,6068-2021-0.010.061-5,,,,,,,RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA,,,,,07/10/2021,,,027.087.0024-3,,,,H.I.S, ZEU,,EIXOS DE ESTRUTURACAO DA TRANSFORMACAO ,MOOCA,"15.832,25",N A R NEGOCIOS EMPRESARIAIS E PARTICIPACOES LT,"1.700,69",R   IPANEMA 00471 ,22/11/2024,RAFAEL INOUE,,RODRIGO SOBREIRO ARQUITETOS LTDA,,B: 1 P: 28 U: 371,,
SMUL/PARHIS/DHGP    ,GUAIANASES                    ,,2023.03.658-01,,,,6068-2024-0.000.348-8,,,,,,,APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,11/01/2024,,,115.324.0008-9,,,,HIS, ZEIS-1 / ZEIS-1/L139,,ZONA ESPECIAL DE INTERESSE SOCIAL - 1.,VL STO ANTONIO,"17.535,79",QRTZ14 INCORPORACOES DE IMOVEIS SPE LTDA,"5.555,80",R   IRMAO DEODORO 1015 ,29/11/2024,DANIEL CASEIRO,,GUSTAVO MATTOS MACEDO,,B: 2 P: 15 U: 0,,
SMUL/PARHIS/DHGP    ,IPIRANGA                      ,,2021.05.658-02,,,,6068-2023-0.010.713-3,,,,,,,APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,10/11/2023,,,157.021.0033-5,,,,R2V; HIS 2; H.M.P; EZEIS, ZM,,ZONA MISTA DE MEDIA DENSIDADE.,JD IMPERADOR,"15.201,55",PROJETO IMOBILIARIO JARDIM IMPERADOR IX SPE LTDA,"10.568,04",R   PROFESSOR ARTUR PRIMAVESI 575 ,28/11/2024,THIAGO SANCHES LADARIO,,RUBIO & LUONGO ARQUITETURA LIMITADA,,B: 1 P: 20 U: 0; B: 1 P: 18 U: 0; B: 8 P: 2 U: 0,,
SMUL/PARHIS/DHGP    ,ITAQUERA                      ,,2024.06.774-00,,,,6068-2024-0.004.124-0,,,,,,,ALVARA DE APROVACAO DE EDIFICACAO NOVA,,,,,17/04/2024,,,233.050.0009-9,,,,HIS 2, ZPI-1,,ZONA PREDOMINANTEMENTE INDUSTRIAL 1.,VILA CARMOZINA,"20.135,95",SPE 04 ITAQUERA/SP PARQUE CRETA EMPREENDIMENTO IMOBILIARIO L,"8.106,80",AV  ADRIANO BERTOZZI 640 ,08/11/2024,PABLO SANTOS,,EDUARDO COCHI,,B: 1 P: 14 U: 497,,
SMUL/PARHIS/DHGP    ,ITAQUERA                      ,,2024.06.774-01,,,,6068-2024-0.012.388-2,,,,,,,APOSTILAMENTO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA,,,,,11/11/2024,,,233.050.0009-9,,,,HIS 2, ZPI-1,,ZONA PREDOMINANTEMENTE INDUSTRIAL 1.,VILA CARMOZINA,"20.171,07",SPE 04 ITAQUERA/SP PARQUE CRETA EMPREENDIMENTO IMOBILIARIO L,"8.106,80",AV  ADRIANO BERTOZZI 640 ,27/11/2024,,,,,B: 1 P: 14 U: 497,,
SMUL/PARHIS/DHGP    ,PENHA                         ,,2018.05.854-01,,,,6068-2024-0.005.386-8,,,,,,,REVALIDACAO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,21/05/2024,,,143.076.0001-1,,,,HIS 1, ZMIS,,ZONA ESPECIAL DE INTERESSE SOCIAL - 2.,ARTUR ALVIM,"5.502,08",CIA METROPOLITANA DE HABITACAO DE SAO PAULO COHAB SP,"2.200,04",R   ESTEFANO FILIPINI 201 ,28/11/2024,SERGIO LUIZ MARQUES COSTA,,RUBEN CARLOS OTERO MARQUEZ,,B: 1 P: 11 U: 86,,
SMUL/PARHIS/DHGP    ,PENHA                         ,,2021.01.067-01,,,,6068-2024-0.009.000-3,,,,,,,PROJETO MODIFICATIVO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,15/08/2024,,,058.008.0019-7,,,,HIS 2, ZM,,ZONA MISTA DE BAIXA DENSIDADE.,PENHA DE FRANCA,"1.952,34",FAROCH PARTICIPACOES E EMPREENDIMENTOS LTDA,"481,00",R   ARAURARI 00074 ,27/11/2024,GUILHERME MAIA MEDEIROS,,GUILHERME MAIA MEDEIROS,,B: 1 P: 7 U: 0,,
SMUL/PARHIS/DHGP    ,PENHA                         ,,2021.05.411-01,,,,6068-2024-0.006.572-6,,,,,,,APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,20/06/2024,,,061.102.0025-5,,,,H.I.S, ZEU,,ZONA MISTA DE MEDIA DENSIDADE.,VILA MATILDE,"4.877,67",PANHAMES EMPREENDIMENTOS SPE LTDA,"498,49",R   PANHAMES 41 ,18/11/2024,,,,,B: 1 P: 17 U: 0,,
SMUL/PARHIS/DHMP    ,ITAQUERA                      ,,2021.08.610-02,,,,6068-2024-0.001.422-6,,,,,,,APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,07/02/2024,,,147.293.0077-6,,,,EHMP, ZEU,,EIXOS DE ESTRUTURACAO DA TRANSFORMACAO ,CIDADE LIDER,,PROJETO IMOBILIARIO E 80 LTDA,"4.236,23",R   IOLANDO RIBEIRO BOAVENTURA 365 ,06/11/2024,CELSO HENRIQUE CARDOSO DE MORAIS,,,,,,
SMUL/PARHIS/DHMP    ,M BOI MIRIM                   ,,2024.06.669-00,,,,6068-2024-0.004.293-9,,,,,,,ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,22/04/2024,,,122.067.0830-1,,,,H.I.S, ZEIS-2,,ZONA ESPECIAL DE INTERESSE SOCIAL - 2.,VILA DAS BELEZAS,"25.496,11",CONSTRUTORA TENDA S/A,"4.935,35",R   GREGORIO ALLEGRI 00029 ,01/11/2024,RAUL VICTOR DE SOUZA SANTOS,,CAROLINE DOS SANTOS DELMONDES,,B: 1 P: 25 U: 294; B: 1 P: 24 U: 283,,
SMUL/PARHIS/DPS     ,,,2022.05.734-02,,,,0000-2015-0.298.810-7,,,,,,,APOSTILAMENTO DE ALVARA DE LOTEAMENTO,,,,,09/11/2015,,,6383580257559,,,,, ZONA NÃO DEFINIDA,,ZONA NAO DEFINIDA.,PIRITUBA,,MRV XC INCORPORACOES LTDA.,,AV  RAIMUNDO P.DE MAGALHAES 000000 ,26/11/2024,,,,,,,
SMUL/RESID/DRGP     ,PINHEIROS                     ,,2024.06.839-00,,,,1010-2022-0.007.476-4,,,,,,,ALVARA DE APROVACAO DE EDIFICACAO NOVA,,,,,25/08/2022,,,013.033.0032-1,,,,NR1; R2V, ZEU,,EIXOS DE ESTRUTURACAO DA TRANSFORMACAO ,JD PAULISTANO,"28.523,09",MTR39 ADMINISTRACAO DE BENS LTDA,"2.663,31",R   CHABAD 00109 ,12/11/2024,GUSTAVO MIYABARA GAGLIARDI,,KONIGSBERGER VANNUCCHI ARQUITETOS ASSOCIADOS LTDA,LUCIANO GOVEIA BRAGA DE LIMA,B: 1 P: 34 U: 110,,
SMUL/RESID/DRGP     ,VILA MARIANA                  ,,2024.03.685-01,,,,6068-2024-0.007.659-0,,,,,,,APOSTILAMENTO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA,,,,,17/07/2024,,,036.042.0001-6,,,,R2V-02, ZM,,ZONA MISTA DE ALTA DENSIDADE - B.,VILA MARIANA,"15.298,33",SEI SAMPAIO VIANA EMPREEND.IMOB.LTDA,"2.613,98",R   SAMPAIO VIANA 00663 663,12/11/2024,,,,,B: 1 P: 25 U: 46,,
SMUL/RESID/DRGP     ,VILA MARIANA                  ,,2024.07.095-00,,,,1010-2024-0.004.409-5,,,,,,,ALVARA DE APROVACAO DE EDIFICACAO NOVA,,,,,27/05/2024,,,039.164.0053-3,,,,R2V, ZEU,,ZONA MISTA DE ALTA DENSIDADE - A.,VL. GLORIA,"30.350,94",TGSP 56 EMPREENDIMENTOS IMOBILIARIOS LTDA,"3.590,00",R   IBARAGUI NISSUI 00166 ,26/11/2024,TEGRA  ENGENHARIA S.A,CAIO EDUARDO DE LUCA,KONIGSBERGER VANNUCCHI ARQUITETOS ASSOCIADOS LTDA,,B: 1 P: 26 U: 0,,
SMUL/RESID/DRVE     ,ARICANDUVA/ FORMOSA/ CARRAO     ,,2009.23.134-04,,,,6068-2023-0.009.676-0,,,,,,,PROJETO MODIFICATIVO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,06/10/2023,,,054.260.0122-7,,,,R2V, ZM-3A,,Z2.,JD ANALIA FRANCO,"38.986,38",JOAO DE OLIVEIRA TORRES INCORPORACOES SPE LTDA,"7.785,00",R   PROF JOAO DE OLIVEIRA TORRE 00000 ,28/11/2024,ANTONIO CIAMPI JUNIOR,,JOEL JOSE ABRAO DA CRUZ,,B: 1 P: 27 U: 96,,
SMUL/RESID/DRVE     ,PINHEIROS                     ,,2022.07.946-02,,,,1010-2024-0.008.095-4,,,,,,,APOSTILAMENTO DE ALVARA DE EXECUCAO DE EDIFICACAO NOVA,,,,,18/09/2024,,,013.017.0113-0,,,,N; R2V-02,,,EIXOS DE ESTRUTURACAO DA TRANSFORMACAO ,CERQUEIRA CESAR,,REC VILA 19 EMPREENDIMENTOS IMOBILIARIOS LTDA,,R   MELO ALVES 184 ,21/11/2024,PATRICIA HEREDIA DOMINGUES,,,,,,
SMUL/RESID/DRVE     ,PINHEIROS                     ,,2024.07.010-00,,,,1010-2024-0.000.711-4,,,,,,,ALVARA DE APROVACAO DE EDIFICACAO NOVA,,,,,31/01/2024,,,013.024.0049-5,,,,R2V-02, ZEU,,EIXOS DE ESTRUTURACAO DA TRANSFORMACAO ,PINHEIROS,"14.322,35",TS 30 PARTICIPACOES LTDA,"1.483,32",AV  REBOUCAS 01101 ,21/11/2024,ALEXANDRE DOS RAMOS CARVALHO,,MICHEL CLERMONT RIKE,,B: 1 P: 21 U: 64,,
SMUL/RESID/DRVE     ,VILA MARIA/ VILA GUILHERME     ,,2022.10.006-01,,,,6068-2024-0.012.496-0,,,,,,,APOSTILAMENTO DE ALVARA DE APROVACAO DE EDIFICACAO NOVA,,,,,13/11/2024,,,068.099.0013-6,,,,R2V-01, ZM-3A/004,,Z2.,VILA GUILHERME,"10.052,78",CELSO BAZEIO,"2.624,52",AV  JOAQUINA RAMALHO 01475 ,29/11/2024,,,,,,,
SMUL/SERVIN/DSIGP   ,PINHEIROS                     ,,2021.03.762-01,,,,6068-2024-0.011.020-9,,,,,,,APOSTILAMENTO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA,,,,,03/10/2024,,,299.023.0088-8,,,,NR3., ZM,,ZONA MISTA DE MEDIA DENSIDADE.,ITAIM BIBI,"71,46",COND EDIFICIO PEDRO MARIZ,"5.172,73",AV  BRIGADEIRO FARIA LIMA 03900 ,18/11/2024,RENATA AMATO DE TOLEDO ARRUDA,,RENATA AMATO DE TOLEDO ARRUDA,,B: 1 P: 16 U: 1,,
SGM/AJ              ,CASA VERDE/ CACHOEIRINHA       ,,2024.07.353-00,,,,0000-2003-1.018.045-3,,,,,,,RECONSIDERACAO DO DESPACHO DE AUTO DE REGULARIZACAO LEI N:13.558/2003,,,,,17/09/2003,,,306.115.0012-1,,,,C2.4,,,Z4-010.,CASA VERDE,,WING COMERCIO DE MOTO PEÇAS LTDA EPP / E OUTRO,"560,00",R   JAGUARETE 00148 ,09/12/2024,OSMAR DIAS DOS SANTOS,,,,,,
SMUL/COMIN          ,LAPA                          ,,2024.07.268-00,,,,0000-2017-0.186.125-5,,,,,,,RECONSIDERACAO DE DESPACHO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA,,,,,21/12/2017,,,082.225.0001-5,,,,NR5.06, ZDE-2,,ZONA MISTA DE ALTA DENSIDADE - A.,JAGUARE,"4.487,67",SERVY PARTICIPACOES S.A,"22.812,62",AV  GONCALO MADEIRA 300 400,04/12/2024,VAGNER LANDI,,VAGNER LANDI,,B: 8 P: 4 U: 0,,
SMUL/COMIN/DCIGP    ,PINHEIROS                     ,,2020.10.498-02,,,,6068-2024-0.004.269-6,,,,,,,PROJETO MODIFICATIVO DE ALVARA DE APROVACAO E EXECUCAO DE REFORMA,,,,,22/04/2024,,,299.148.0044-9,,,,NR2.02; NR3.04; NR1.06, ZM,,ZONA DE CENTRALIDADE LINEAR - A.,VILA NOVA CONCEIÇÃO,"1.125,18",CONDOMINIO WTORRE JK,"61.055,85",AV  PRES JUSCELINO KUBITSCHEK 2041 LOJA 355/354 B,10/12/2024,CLAUDIO EDUARDO ALVES SOARES,,CLAUDIO EDUARDO ALVES SOARES,,B: 1 P: 31 U: 0; B: 1 P: 6 U: 0; B: 1 P: 5 U: 0; B: 1 P: 22 U: 0; B: 1 P: 19 U: 0; B: 1 P: 4 U: 0,,
SMUL/COMIN/DCIGP    ,PIRITUBA                      ,,2024.07.223-00,,,,1010-2021-0.008.677-9,,,,,,,ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,02/09/2021,,,078.443.0132-5,,,,NR3.02; NR1.15; NR1.02; NR1.03, ZEMP / QA/001 / MA/009,,ZONA MISTA DE ALTA DENSIDADE - A.,JARDIM IRIS,"11.638,22",PAULO ALBERT HOLLAND,"5.698,66",AV  RAIMUNDO P.DE MAGALHAES 2808 ,02/12/2024,MARCOS GUSMAO MATHEUS,,MARCOS GUSMAO MATHEUS,,B: 1 P: 3 U: 0,,
SMUL/COMIN/DCIGP    ,SAO MATEUS                    ,,2016.11.916-01,,,,6068-2024-0.007.463-6,,,,,,,PROJETO MODIFICATIVO DE ALVARA DE APROVACAO E EXECUCAO DE EDIFICACAO NOVA,,,,,12/07/2024,,,194.249.0069-3,,,,NR2-02, ZCP-A/009,,ZONA DE CENTRALIDADE POLAR - A.,JARDIM IGUATEMI,"24.990,00",ADMINISTRADORA DE BENS ONELPO LTDA.,"25.479,42",AV  RAGUEB CHOHFI 004863 ,02/12/2024,LEANDRO DESTRO,,LEANDRO DESTRO,,B: 1 P: 2 U: 0,,
SMUL/COMIN/DCIGP    ,VILA MARIA/ VILA GUILHERME     ,,2024.07.415-00,,,,6068-2024-0.009.150-6,,,,,,,CERTIFICADO DE CONCLUSAO,,,,,20/08/2024,,,063.237.0035-2,,,,NR3.06; NR2-29, ZPI-1,,ZONA PREDOMINANTEMENTE INDUSTRIAL.,PARQUE NOVO MUNDO,"831,01",TRES ELOS ADMINISTRACAO E PARTICIPACOES LTDA,"28.207,53",R   DA BANDUIRA 000219 ,10/12/2024,LEO ROGERIO CASTELLAN MARTINEZ,,,,,,
SMUL/CONTRU         ,SANTO AMARO                   ,,2024.07.457-00,,,,0000-2018-0.071.975-9,,,,,,,RECONSIDERACAO DE DESPACHO DE CERTIFICADO DE ACESSIBILIDADE,,,,,20/07/2018,,,121.023.0099-3,,,,NR3.01, ZC,,ZONA MISTA DE BAIXA DENSIDADE.,JD. UMUARAMA,,VOX LINE CONTACT CENTER INTERMEDIACAO DE PEDIDOS,,AV  INTERLAGOS 3509 ,11/12/2024,AIDA MARTINS CASIMIRO VARUZZI,,AIDA MARTINS CASIMIRO VARUZZI,,,,
SMUL/CONTRU         ,SE                            ,,2024.07.756-00,,,,6068-2024-0.004.997-6,,,,,,,RECONSIDERACAO DE DESPACHO DE ALVARA DE FUNCIONAMENTO DE LOCAL DE REUNIAO,,,,,10/05/2024,,,020.038.0038-7,,,,NR3-04, ZC,,ZONA MISTA DE ALTA DENSIDADE - B.,BARRA FUNDA,,CAMARIM EVENTOS E PROMOCOES LTDA,,R   BRIGADEIRO GALVAO 723 729,20/12/2024,JOSE ANTONIO CARNEIRO NOVAES; RUTH DE SOUZA ALVES FERREIRA,,,,,,
SMUL/CONTRU/DACESS  ,SE                            ,,2019.08.185-01,,,,6068-2024-0.012.485-4,,,,,,,APOSTILAMENTO DE CERTIFICADO DE ACESSIBILIDADE,,,,,13/11/2024,,,006.064.0918-1,,,,NR1-04, ZC,,ZONA DE CENTRALIDADE POLAR - B.,REPUBLICA,,CONDOMINIO EDIFICIO ITALIA,,AV  SAO LUIS 50 1 ANDAR /,06/12/2024,,,,,,,
SMUL/CONTRU/DACESS  ,VILA MARIANA                  ,,2024.07.727-00,,,,0000-2019-0.006.960-8,,,,,,,CERTIFICADO DE ACESSIBILIDADE,,,,,30/01/2019,,,041.138.0029-4,,,,NR2-08, ZM,,ZONA MISTA DE ALTA DENSIDADE - B.,INDIANÓPOLIS,,PAR DE S SERGIO RADONEJSKY DA DIOC BRAS DA IGR,,R   GAIVOTA 898 ,20/12/2024,SERGIO RICARDO SIDE,,MARCUS VINICIUS AZEVEDO NAVARRO MONTEIRO,,,,
SMUL/CONTRU/DINS    ,GUAIANASES                    ,,2024.07.814-00,,,,0000-2018-0.061.442-6,,,,,,,CERTIFICADO DE ESTANQUEIDADE,,,,,18/06/2018,,,115.080.0395-4,,,,NR2, ZMIS,,ZONA DE CENTRALIDADE LINEAR - A.,PARQUE CENTRAL,,COMPANHIA BRASILEIRA DE DISTRIBUICAO,,ES    ITAQUERA-GUAIANASES 2671 ,27/12/2024,SERGIO ANTONIO MARRA,,,,,,
SMUL/CONTRU/DINS    ,LAPA                          ,,2020.01.279-01,,,,6068-2024-0.008.936-6,,,,,,,REVALIDACAO DE AUTO DE LICENCA DE FUNCIONAMENTO,,,,,14/08/2024,,,197.045.0059-8,,,,NR5.02,,,Z3-077.,BARRA FUNDA,,FEDERACAO PAULISTA DE FUTEBOL,,R     FEDERACAO PAULISTA DE FUTEBOL 000055 ,11/12/2024,AUGUSTO HORTENCIO MANIERI,,,,,,
SMUL/CONTRU/DINS    ,PINHEIROS                     ,,2019.18.163-02,,,,6068-2024-0.008.198-5,,,,,,,REVALIDACAO DE AUTO DE LICENCA DE FUNCIONAMENTO,,,,,31/07/2024,,,299.028.1114-9,,,,NR5.02,,,Z9-022.,JD PAULISTA,,CONDOMINIO MISS SILVIA MORIZONO,,R   MINISTRO JESUINO CARDOSO 360 ,11/12/2024,AUGUSTO HORTENCIO MANIERI,,,,,,
SMUL/CONTRU/DINS    ,PINHEIROS                     ,,2020.10.575-01,,,,6068-2024-0.008.623-5,,,,,,,"APOSTILAMENTO DO CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS",,,,,07/08/2024,,,085.300.0040-4,,,,NR2, ZEUP,,ZONA MISTA DE ALTA DENSIDADE - B.,STO AMARO,,GDO PARTICIPACOES S/A,,AV  PADRE ANTONIO JOSE DOS SANTOS 01575 1605,20/12/2024,CINTIA EIMY TAO,,,,,,
SMUL/CONTRU/DINS    ,PINHEIROS                     ,,2021.02.605-01,,,,6068-2024-0.008.637-5,,,,,,,"APOSTILAMENTO DO CADASTRO DE TANQUES, BOMBAS  E EQUIPAMENTOS AFINS",,,,,07/08/2024,,,096.113.0036-0,,,,NR2, ZCOR-2,,Z1-009.,ALTO DE PINHEIROS,,GDO PARTICIPACOES S/A,,AV  DOUTORA RUTH CARDOSO 599 ,20/12/2024,CINTIA EIMY TAO,,,,,,
SMUL/CONTRU/DLR     ,BUTANTA                       ,,2024.07.558-00,,,,6068-2024-0.012.562-1,,,,,,,ALVARA DE AUTORIZACAO,,,,,14/11/2024,,,300.052.0055-2,,,,NR3-04, ZM,,ZONA MISTA DE MEDIA DENSIDADE.,REAL PARQUE,,VARANDA ESTAIADA LTDA,,AV  MAGALHAES DE CASTRO 6118 EST. CARREFOUR,16/12/2024,MESAQUE MOTA BISPO; GABRIEL ALBERT SILVA BISPO,,,,,,
SMUL/CONTRU/DLR     ,BUTANTA                       ,,2024.07.612-00,,,,6068-2024-0.012.576-1,,,,,,,ALVARA DE AUTORIZACAO,,,,,14/11/2024,,,123.128.0001-1,,,,NR3.04, ZOE,,ZONA DE OCUPACAO ESPECIAL.,JARDIM LEONOR,,BALADA EVENTOS E PRODUCOES LTDA,,PC  ROBERTO GOMES PEDROSA 00001 ESTADIO DO MORUMBI/,17/12/2024,VICENZO ZARATIN; MESAQUE MOTA BISPO; ELI FELLIPE VALADAO BELO,,,,,,
SMUL/CONTRU/DLR     ,CAMPO LIMPO                   ,,2024.07.834-00,,,,6068-2024-0.013.231-8,,,,,,,ALVARA DE AUTORIZACAO,,,,,05/12/2024,,,301.074.0304-5,,,,NR4.06, ZEPAM,,Z2.,VILA ANDRADE,,AGENCIA TODAY PARTICIPACOES LTDA,,AV  DONA   HELENA PEREIRA DE MORAES 200 PARQUE BURLE MARX /,30/12/2024,NAIARA ROBERTA ROSIN SIMOES COELHO,,,,,,
SMUL/CONTRU/DLR     ,CAPELA DO SOCORRO             ,,2024.07.360-00,,,,6068-2024-0.010.510-8,,,,,,,ALVARA DE AUTORIZACAO,,,,,23/09/2024,,,162.051.0161-1,,,,NR3-04, ZOE,,ZONA DE OCUPACAO ESPECIAL.,INTERLAGOS,,TECHTIME LTDA,,AV  SENADOR TEOTONIO VILELA 261 AUTÓDROMO/,09/12/2024,CLAUDIO RODRIGUES BEDUSCKI,,,,,,
SMUL/CONTRU/DLR     ,CAPELA DO SOCORRO             ,,2024.07.453-00,,,,6068-2024-0.012.345-9,,,,,,,ALVARA DE AUTORIZACAO,,,,,08/11/2024,,,162.051.0161-1,,,,NR3.04, ZOE,,Z2.,INTERLAGOS,,RAFAEL FELIPE GOMES MOTA SHOWS E EVENTOS,,AV  SENADOR TEOTONIO VILELA 261 AUTÓDROMO/,11/12/2024,FAUSTO ARANTES RECHE,,,,,,
SMUL/CONTRU/DLR     ,CAPELA DO SOCORRO             ,,2024.07.570-00,,,,6068-2024-0.012.541-9,,,,,,,ALVARA DE AUTORIZACAO,,,,,14/11/2024,,,162.051.0161-1,,,,NR3.04, ZOE,,ZONA DE OCUPACAO ESPECIAL.,INTERLAGOS,,VICAR PROMOÇÕES DESPORTIVAS S.A,,AV  SENADOR TEOTONIO VILELA 261 AUTÓDROMO/,16/12/2024,THALITA GROSSO DE OLIVEIRA,,,,,,
SMUL/CONTRU/DLR     ,FREGUESIA/ BRASILANDIA         ,,2024.07.261-00,,,,6068-2024-0.005.144-0,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,15/05/2024,,,076.048.0004-1,,,,NR2.15, ZEU,,Z2.,FREGUESIA DO O,,CONGREGAÇÃO CRISTÃ NO BRASIL,,R   PEDROSO XAVIER 176 ,03/12/2024,HELIO FREITAS FILHO; ENEAS LANJONI FERREIRA,,HELIO FREITAS FILHO; ENEAS LANJONI FERREIRA,,,,
SMUL/CONTRU/DLR     ,GUAIANASES                    ,,2024.07.383-00,,,,6068-2024-0.009.105-0,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,19/08/2024,,,136.083.0023-5,,,,NR2.15, ZM,,ZM                 SUBPREFEITURA GUAIAN,GUAIANASES,,CONGREGACAO CRISTA NO BRASIL,,R   DOMINGOS ESCORCIO 626 ,09/12/2024,ROGERIO PEREIRA DA SILVA; CESAR IGLESIAS BALSEIRO JUNIOR,,,,,,
SMUL/CONTRU/DLR     ,IPIRANGA                      ,,2024.07.276-00,,,,6068-2024-0.012.125-1,,,,,,,ALVARA DE AUTORIZACAO,,,,,04/11/2024,,,040.074.0047-4,,,,NR4.06, ZEPAM,,ZONA MISTA DE MEDIA DENSIDADE.,IPIRANGA,,ENF EVENTOS SOCIAIS E CORPORATIVOS LTDA,,R   DOS PATRIOTAS 100 MUSEU SAGUAO +JARDIM,05/12/2024,MARIANNA BARBOSA VIEIRA,,,,,,
SMUL/CONTRU/DLR     ,IPIRANGA                      ,,2024.07.384-00,,,,6068-2024-0.009.187-5,,,,,,,REVALIDACAO DO ALVARA DE FUNCIONAMENTO DO LOCAL DE REUNIAO,,,,,20/08/2024,,,157.207.0047-0,,,,NR2.15, ZM,,Z2.,CARAGUATA,,CONGREGAÇÃO CRISTÃ NO BRASIL,,R   GIOVANNI CARNOVALI 220 ,09/12/2024,ARMANDO FRANCISCO FERRO JUNIOR; ELIEZER ALEXANDRE DOMINGUES,,,,,,
SMUL/CONTRU/DLR     ,ITAQUERA                      ,,2024.07.364-00,,,,6068-2024-0.012.339-4,,,,,,,ALVARA DE AUTORIZACAO,,,,,08/11/2024,,,143.072.1062-9,,,,NR3.04, ZOE,,ZONA DE CENTRALIDADE POLAR - A.,ITAQUERA,,CAMAROTE SHOWS E EVENTOS LTDA,,AV  MIGUEL IGNACIO CURI 111 ARENA NEO QUIMICA,09/12/2024,FAUSTO ARANTES RECHE,,,,,,
SMUL/CONTRU/DLR     ,ITAQUERA                      ,,2024.07.826-00,,,,6068-2024-0.012.735-7,,,,,,,ALVARA DE AUTORIZACAO,,,,,21/11/2024,,,143.072.1062-9,,,,NR3.04, ZOE,,ZONA DE CENTRALIDADE POLAR - A.,ITAQUERA,,FUNBOX ENTRETENIMENTO LTDA,,AV  MIGUEL IGNACIO CURI 111 ARENA NEO QUIMICA,30/12/2024,VICENZO ZARATIN,,,,,,
