sql_mestre,x,y,epsg,status
0731570080,334028.20564999996,7398397.065364286,31983,ok
0732850001,333305.16997432447,7398274.357795945,31983,ok
0732850002,333523.85425925924,7398323.89212963,31983,ok
0763010006,329345.2033795699,7402313.864706452,31983,ok
0770030001,325026.45956000005,7399295.280333334,31983,ok
0780050000,,,31983,sem_lote
0782490000,323202.914181579,7401314.292132896,31983,ok
0784310000,,,31983,sem_lote
0785190101,323684.5478428571,7398865.6713785725,31983,ok
0785190102,323859.7374354839,7398714.925329032,31983,ok
0811790001,328304.7662064516,7393828.820396775,31983,ok
0811800039,328360.0345857143,7393919.59985,31983,ok
0812100001,328033.71109999996,7393661.014921211,31983,ok
0821650001,322163.9611387097,7395459.673696776,31983,ok
0821700000,,,31983,sem_lote
0822220000,,,31983,sem_lote
0824020116,,,31983,sem_lote
0825170000,,,31983,sem_lote
0825170012,324321.6518009135,7392515.021256163,31983,ok
0825170014,323243.2007925855,7393041.365777376,31983,ok
0830250015,326087.40222499997,7393989.50435,31983,ok
0830460001,326891.07357499993,7392646.5701636365,31983,ok
0840030017,326160.83616999997,7391583.9134100005,31983,ok
0840460019,326571.3223318182,7390175.917222729,31983,ok
0842380001,326305.4714130434,7390854.774999999,31983,ok
0842590001,326316.4118718753,7390393.8528684,31983,ok
0860910003,329092.0745545455,7386790.174872726,31983,ok
0861280041,329625.62086499995,7387149.05061,31983,ok
0862860017,329588.7425235294,7385138.712870588,31983,ok
0870000000,,,31983,sem_lote
0870640020,325893.5065366666,7383486.869069999,31983,ok
0872210001,325825.35469999997,7383370.295299999,31983,ok
0872480001,326156.1962999999,7384841.399455556,31983,ok
0872510001,326372.27277499996,7383798.272725001,31983,ok
0872530001,325741.0734888889,7383847.506327778,31983,ok
0873060028,325691.70832105266,7383826.791189473,31983,ok
0873400001,325708.2958379311,7384015.728048277,31983,ok
0873740004,325994.67526829266,7385152.281275609,31983,ok
0873790187,325798.12247777777,7383918.1843111105,31983,ok
0873790188,325804.12657692307,7383915.1820461545,31983,ok
