sql_mestre,valor_transacao,data_transacao,natureza,fonte_ano
2000200011,260000.00,2025-01-30,1.Compra e venda,itbi_3.xlsx
1430870015,215000.00,2023-01-30,1.Compra e venda,itbi_1.xlsx
1430870009,225000.00,2023-01-27,1.Compra e venda,itbi_1.xlsx
1831350052,384000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
2806900344,264000.00,2023-01-27,1.Compra e venda,itbi_1.xlsx
6208001382,426026.56,2023-01-30,1.Compra e venda,itbi_1.xlsx
1504800206,364454.59,2022-12-29,1.Compra e venda,itbi_1.xlsx
1830890484,680000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
9900202333,298000.00,2025-01-16,1.Compra e venda,itbi_3.xlsx
5303301796,276000.00,2022-12-26,1.Compra e venda,itbi_1.xlsx
1110204124,3150000.00,2022-12-20,1.Compra e venda,itbi_1.xlsx
1231520007,880000.00,2022-12-20,1.Compra e venda,itbi_1.xlsx
4812402379,355000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
1000901645,1230000.00,2023-01-05,1.Compra e venda,itbi_1.xlsx
1001109252,1300000.00,2023-01-05,1.Compra e venda,itbi_1.xlsx
1001108256,60400.00,2023-01-05,1.Compra e venda,itbi_1.xlsx
1003407048,370678.05,2023-01-31,1.Compra e venda,itbi_1.xlsx
1206605618,1460000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
5209201716,800000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
3508303136,360000.00,2023-01-05,1.Compra e venda,itbi_1.xlsx
2802503006,1780000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
8725501542,1080000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
4910700838,370000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
6608900880,440000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
1571040003,171571.00,2023-01-24,1.Compra e venda,itbi_1.xlsx
7534101271,300000.00,2023-01-03,17.Resolução da alienação fiduciária por inadimplemento,itbi_1.xlsx
3010660216,1750000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
4122300258,1200000.00,2023-01-05,1.Compra e venda,itbi_1.xlsx
3002902519,1100000.00,2022-12-26,1.Compra e venda,itbi_1.xlsx
9029800976,260000.00,2022-12-26,1.Compra e venda,itbi_1.xlsx
2707907537,285000.00,2023-01-30,1.Compra e venda,itbi_1.xlsx
1200420295,245000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
1570300274,230000.00,2022-12-26,1.Compra e venda,itbi_1.xlsx
2410120001,264000.00,2023-01-23,1.Compra e venda,itbi_1.xlsx
1701300043,308000.00,2025-01-24,1.Compra e venda,itbi_3.xlsx
7600600218,290000.00,2023-01-27,1.Compra e venda,itbi_1.xlsx
2001403526,425000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
0506400727,340000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
4320400283,480981.00,2023-01-26,1.Compra e venda,itbi_1.xlsx
1701300042,220000.00,2023-01-20,1.Compra e venda,itbi_1.xlsx
1700230183,3800000.00,2023-01-05,1.Compra e venda,itbi_1.xlsx
2006204051,905000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
7610900761,150000.00,2023-01-04,1.Compra e venda,itbi_1.xlsx
1830911807,470000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
2006204769,45000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
1212590412,232300.00,2023-01-19,1.Compra e venda,itbi_1.xlsx
1620510306,295000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
9901900522,254000.00,2023-01-27,1.Compra e venda,itbi_1.xlsx
1380740044,225400.00,2023-01-06,1.Compra e venda,itbi_1.xlsx
6722402568,490000.00,2022-12-26,1.Compra e venda,itbi_1.xlsx
5104602206,280000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
2990820854,513305.00,2022-12-30,15.Permuta por escritura pública,itbi_1.xlsx
4715100568,912500.00,2023-01-05,1.Compra e venda,itbi_1.xlsx
1712221222,494350.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
2202901183,620908.39,2023-01-24,1.Compra e venda,itbi_1.xlsx
7003601605,550000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
2990100305,7150000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
6665800016,264000.00,2023-01-24,1.Compra e venda,itbi_1.xlsx
1970191980,660000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
4306300730,633000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
1134850003,500000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
1202200664,650000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
4106500876,7000000.00,2023-01-02,1.Compra e venda,itbi_1.xlsx
4618900814,400000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
2110405376,249649.70,2023-01-20,1.Compra e venda,itbi_1.xlsx
1680930069,242000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
3081680004,180000.00,2022-12-30,1.Compra e venda,itbi_1.xlsx
0706310527,450000.00,2022-12-20,1.Compra e venda,itbi_1.xlsx
2140120124,550000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
6204301128,398151.00,2023-01-05,1.Compra e venda,itbi_1.xlsx
6215600237,264000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
1207503673,1100000.00,2023-01-05,15.Permuta por escritura pública,itbi_1.xlsx
2002300615,415000.00,2022-12-26,1.Compra e venda,itbi_1.xlsx
1207305431,2070000.00,2023-01-05,15.Permuta por escritura pública,itbi_1.xlsx
1572040129,200000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
3010542912,316762.30,2023-01-30,1.Compra e venda,itbi_1.xlsx
1016220069,500000.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
3104100470,400000.00,2023-01-03,1.Compra e venda,itbi_1.xlsx
7826803519,535736.57,2022-12-29,1.Compra e venda,itbi_1.xlsx
7826801427,24263.43,2022-12-29,1.Compra e venda,itbi_1.xlsx
1906106551,205000.00,2022-12-28,1.Compra e venda,itbi_1.xlsx
1721990018,239000.00,2023-01-27,1.Compra e venda,itbi_1.xlsx
1692690006,239950.42,2023-01-20,1.Compra e venda,itbi_1.xlsx
2140240414,318000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
1550080135,280000.00,2022-12-29,1.Compra e venda,itbi_1.xlsx
1571980049,241000.00,2025-01-24,1.Compra e venda,itbi_3.xlsx
3008600565,500000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
1125730126,245000.00,2022-12-23,1.Compra e venda,itbi_1.xlsx
5210200116,760000.00,2022-12-22,1.Compra e venda,itbi_1.xlsx
1351840011,357200.00,2022-12-27,1.Compra e venda,itbi_1.xlsx
1130100001,254000.00,2023-01-20,1.Compra e venda,itbi_1.xlsx
5803201359,46618.71,2023-01-30,1.Compra e venda,itbi_1.xlsx
3500100023,250000.00,2023-01-13,1.Compra e venda,itbi_1.xlsx
0306806355,121550.51,2022-12-29,1.Compra e venda,itbi_1.xlsx
5620103285,1000000.00,2023-01-02,1.Compra e venda,itbi_1.xlsx
1212610041,224000.00,2023-01-13,1.Compra e venda,itbi_1.xlsx
1040250015,242000.00,2022-12-14,1.Compra e venda,itbi_1.xlsx
