sql_mestre,zona,ca_basico,fonte,na_aiu_sce
0090690013,ZEU,1,ZEU_u.shp,
0090690014,ZEU,1,ZEU_u.shp,
0090700000,ZEU,1,ZEU_u.shp,
0090700001,ZEU,1,GeoSampa(Lei18177→ZEU)+Q3,1
0090710000,ZEU,1,ZEU_u.shp,
0090710464,ZEU,1,GeoSampa(Lei18177→ZEU)+Q3,1
0090800039,ZEU,1,ZEU_u.shp,
0090940001,ZEIS-3,1,ZEIS_3.shp,
0090940004,ZEIS-3,1,ZEIS_3.shp,
0090940005,ZEIS-3,1,ZEIS_3.shp,
0090940006,ZEIS-3,1,ZEIS_3.shp,
0090940008,ZEIS-3,1,ZEIS_3.shp,
0090940009,ZEIS-3,1,ZEIS_3.shp,
0090940013,ZEIS-3,1,ZEIS_3.shp,
0090940014,ZEIS-3,1,ZEIS_3.shp,
0090940028,ZEIS-3,1,ZEIS_3.shp,
0090940029,ZEIS-3,1,ZEIS_3.shp,
0090940030,ZEIS-3,1,ZEIS_3.shp,
0090940031,ZEIS-3,1,ZEIS_3.shp,
0090940034,ZEIS-3,1,ZEIS_3.shp,
0090940035,ZEIS-3,1,ZEIS_3.shp,
0090940036,ZEIS-3,1,ZEIS_3.shp,
0090940037,ZEIS-3,1,GeoSampa(Lei18177→ZEIS-3)+Q3,1
0090940038,ZEIS-3,1,GeoSampa(Lei18177→ZEIS-3)+Q3,1
0090940039,ZEIS-3,1,ZEIS_3.shp,
0090940040,ZEIS-3,1,ZEIS_3.shp,
0090940041,ZEIS-3,1,ZEIS_3.shp,
0090940042,ZEIS-3,1,ZEIS_3.shp,
