uso,tipo,tema,oficialidade,nome,path,bytes,drive_id
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 59.671 DE 7 DE AGOSTO DE 2020 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,43186,15nbTbyA1xP45CL9t32Nn2OpoKbOzmCwg
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 58.176 DE 3 DE ABRIL DE 2018 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,4211,1ab5GTGSGH14fkulHSRZLi6VIq8KXvTeH
USAR,JURISPRUDENCIA,OUTRO,OFICIAL,RESOLUÇÃO SECRETARIA MUNICIPAL DE CULTURA - SMC_CONPRESP Nº 13 DE 13 DE NOVEMBRO DE 2023.md,01A_BRONZE_OFICIAL,3735,1_uGn54gYD43d3Z5_mRwIlTya54CT8_1p
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 63.999 DE 30 DE DEZEMBRO DE 2024 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,3707,13QzXCjy3ONkFsOKXd5ho59AYDd2tF3kM
USAR,PORTARIA,JURIDICO,OFICIAL,PORTARIA SECRETARIA MUNICIPAL DE LICENCIAMENTO - SEL Nº 15 DE 2 DE MAIO DE 2016 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,6988,1c-wlR41nUmkllaryJxB5izw_8oCWijHY
USAR,OUTRO,TDC,OFICIAL,Declaração de Potencial Construtivo Passível de Transferência - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.md,01A_BRONZE_OFICIAL,8547,1jl3TJKYnnkMlqa-igAGyRAd_Ur2wyD8t
USAR,LEI,JURIDICO,OFICIAL,LEI Nº 17.217 DE 23 DE OUTUBRO DE 2019 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,15602,1OTgmgwyJu1NL9b5u4lTeGXwSx-dmP_kV
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 57.776 DE 7 DE JULHO DE 2017 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,97597,1CfErZ5tSPaCbWH2j-ozmniBQUfb1_Vyo
USAR,DECRETO,JURIDICO,OFICIAL,DECRETO Nº 59.886 DE 4 DE NOVEMBRO DE 2020 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,23271,1LUl3uPBfUSUOPcC_aLPI1DQUYvn4Iewl
USAR,LEI,JURIDICO,OFICIAL,LEI Nº 18.222 DE 27 DE DEZEMBRO DE 2024 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,91735,1MfXHJFbMlo_GT9DTilcm-VfSkZNG1ebi
USAR,LEI,JURIDICO,OFICIAL,LEI Nº 16.402 DE 22 DE MARÇO DE 2016 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,277196,1Iluoz8vIBHs5j_CfkMsYuweH6R1o7D2X
USAR,LEI,JURIDICO,OFICIAL,LEI Nº 17.733 DE 11 DE JANEIRO DE 2022 « Catálogo de Legislação Municipal.md,01A_BRONZE_OFICIAL,26486,1DLKdoOQZ81W7g3oEgFzAVgXk2tP35Hiq
USAR,OUTRO,GEO,OFICIAL,Ativação de Zonas de Estruturação (ZEUP e ZEMP) por Particular - Secretaria Municipal de Urbanismo e Licenciamento - Prefeitura.md,01A_BRONZE_OFICIAL,4614,1NTuNmOhTp0Rwnwgh3Z4D5AZSPzR-JAqe
